model,model_image_url
Best Wishes 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Best_Wishes_1.tgs
Festive 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Festive_1.tgs
Anniversary 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Anniversary_0.tgs
Juicy Ginger 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Juicy_Ginger_1.tgs
Silver Year 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Silver_Year_1.tgs
Black Ink 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Black_Ink_1.tgs
Sweet Glaze 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Sweet_Glaze_1.tgs
Wicked 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Wicked_1.tgs
Superstar 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Superstar_0.tgs
Glitch 0.6%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Glitch_0.tgs
Broadway 0.6%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Broadway_0.tgs
Winter Noon 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Winter_Noon_1.tgs
Ice Crackle 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Ice_Crackle_1.tgs
Choco Wax 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Choco_Wax_1.tgs
Eternal Glow 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Eternal_Glow_1.tgs
Shine Bright 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Shine_Bright_1.tgs
Orange Mood 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Orange_Mood_1.tgs
Spring Meadow 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Spring_Meadow_1.tgs
Bronze Age 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Bronze_Age_1.tgs
Valentine 0.6%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Valentine_0.tgs
Pear Cocktail 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Pear_Cocktail_1.tgs
Multicolor 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Multicolor_1.tgs
Tropicana 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Tropicana_1.tgs
Mouse Brunch 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Mouse_Brunch_0.tgs
Icicle 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Icicle_1.tgs
Peachy 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Peachy_1.tgs
