name,image_url
Flower Cross 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Flower_Cross_0_2.png
Robin Hood 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Robin_Hood_0_7.png
Puzzle 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Puzzle_0_7.png
Cursor 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Cursor_0_7.png
Peaked Cap 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Peaked_Cap_0_7.png
War Bonnet 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/War_Bonnet_0_4.png
Lemon Slice 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Lemon_Slice_0_7.png
Sword 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Sword_0_4.png
Bearskin 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Bearskin_0_4.png
Leaf 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Leaf_0_7.png
Spellbook 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Spellbook_0_7.png
Bottle 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Bottle_0_7.png
Radar 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Radar_0_7.png
Wise Raven 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Wise_Raven_0_2.png
Bicorne 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Bicorne_0_4.png
Lion of Babylon 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Lion_of_Babylon_0_4.png
Axe 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Axe_0_2.png
Bunny 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Bunny_0_4.png
Cap 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Cap_0_7.png
Garden Pot 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Garden_Pot_0_7.png
Moon 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Moon_0_2.png
Red Deer 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Red_Deer_0_4.png
Piggy Bank 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Piggy_Bank_0_7.png
Heart 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Heart_0_7.png
Genie Lamp 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Genie_Lamp_0_4.png
Narcissus 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Narcissus_0_7.png
Old Candle 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Old_Candle_0_2.png
War Tiger 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/War_Tiger_0_5.png
Flat Cap 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Flat_Cap_0_7.png
Flying Dragon 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Flying_Dragon_0_5.png
Elf Hat 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Elf_Hat_0_7.png
